timestamp_utc,site_id,zone_id,cycle_id,dataset_role,sample_interval_minutes,zone_area_m2,theta_10cm_m3_m3,theta_25cm_m3_m3,irrigation_command_mm,irrigation_delivered_mm,flow_l_min,cumulative_water_l,air_temperature_c,relative_humidity_pct,solar_radiation_w_m2,reference_theta_10cm_m3_m3,reference_theta_25cm_m3_m3,root_depth_m,crop_stage,sensor_status,notes
2026-04-01T00:00:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.216,0.2255,0.0,0.0,0.0,0.0,22.0,70.0,0.0,0.215,0.2265,0.3,vegetative,ok,synthetic_example_only
2026-04-01T00:15:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.246,0.238,2.0,2.0,1.333333,20.0,22.653,68.434,35.972,0.245,0.239,0.3,vegetative,ok,synthetic_example_only
2026-04-01T00:30:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.244194,0.237429,0.0,0.0,0.0,20.0,23.294,66.894,71.789,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T00:45:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.242505,0.236881,0.0,0.0,0.0,20.0,23.913,65.408,107.3,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T01:00:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.240924,0.236355,0.0,0.0,0.0,20.0,24.5,64.0,142.35,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T01:15:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.239446,0.235851,0.0,0.0,0.0,20.0,25.044,62.695,176.792,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T01:30:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.238063,0.235367,0.0,0.0,0.0,20.0,25.536,61.515,210.476,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T01:45:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.236769,0.234903,0.0,0.0,0.0,20.0,25.967,60.48,243.259,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T02:00:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.235558,0.234458,0.0,0.0,0.0,20.0,26.33,59.608,275.0,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T02:15:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.234426,0.234031,0.0,0.0,0.0,20.0,26.619,58.913,305.564,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T02:30:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.233367,0.233622,0.0,0.0,0.0,20.0,26.83,58.409,334.819,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T02:45:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.232376,0.233229,0.0,0.0,0.0,20.0,26.957,58.103,362.64,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T03:00:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.231449,0.232853,0.0,0.0,0.0,20.0,27.0,58.0,388.909,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T03:15:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.230581,0.232491,0.0,0.0,0.0,20.0,26.957,58.103,413.512,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T03:30:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.22977,0.232145,0.0,0.0,0.0,20.0,26.83,58.409,436.344,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T03:45:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.229011,0.231812,0.0,0.0,0.0,20.0,26.619,58.913,457.308,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T04:00:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.228301,0.231494,0.0,0.0,0.0,20.0,26.33,59.608,476.314,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T04:15:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.227636,0.231188,0.0,0.0,0.0,20.0,25.967,60.48,493.28,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T04:30:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.227015,0.230895,0.0,0.0,0.0,20.0,25.536,61.515,508.134,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T04:45:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.226433,0.230613,0.0,0.0,0.0,20.0,25.044,62.695,520.812,,,0.3,vegetative,ok,synthetic_example_only
2026-04-01T05:00:00Z,SYNTHETIC_SITE,ZONE_01,C01,identification,15,10.0,0.22589,0.230343,0.0,0.0,0.0,20.0,24.5,64.0,531.259,,,0.3,vegetative,ok,synthetic_example_only
