timestamp_utc,calibration_batch_id,soil_source_id,sensor_id,depth_label,moisture_level_id,replicate_id,sensor_theta_m3_m3,wet_soil_mass_g,dry_soil_mass_g,sample_volume_cm3,water_density_g_cm3,reference_method,operator_id,notes
2026-03-01T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L01,R01,0.116588,131.976,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-01T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L01,R02,0.119588,131.976,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-01T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L01,R03,0.122588,131.976,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-02T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L02,R01,0.178443,137.964,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-02T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L02,R02,0.181443,137.964,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-02T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L02,R03,0.184443,137.964,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-03T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L03,R01,0.240299,143.952,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-03T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L03,R02,0.243299,143.952,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-03T03:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L03,R03,0.246299,143.952,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-04T01:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L04,R01,0.302155,149.94,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
2026-03-04T02:00:00Z,SYNTHETIC_MOISTURE_V1,SYNTHETIC_SOIL,S10,10cm,L04,R02,0.305155,149.94,120.0,100.0,0.998,synthetic_oven_dry_equivalent,SYNTHETIC,pipeline_example_only
