anomaly_scenario_id,base_scenario_id,split,anomaly_type,anomaly_seed,start_step,end_step
AV3D0001,V3D0001,development,flow_decay,72019708,120,168
AV3D0002,V3D0002,development,normal,72019709,120,168
AV3D0003,V3D0003,development,sensor_missing,72019710,120,144
AV3D0004,V3D0004,development,sensor_spike,72019711,120,123
AV3D0005,V3D0005,development,flow_decay,72019712,120,168
AV3D0006,V3D0006,development,normal,72019713,120,168
AV3D0007,V3D0007,development,solver_failure,72019714,120,132
AV3D0008,V3D0008,development,normal,72019715,120,168
AV3D0009,V3D0009,development,root_depth_shift,72019716,120,168
AV3D0010,V3D0010,development,valve_stuck,72019717,120,168
AV3D0011,V3D0011,development,sensor_drift,72019718,120,168
AV3D0012,V3D0012,development,feedback_conflict,72019719,120,132
AV3D0013,V3D0013,development,normal,72019720,120,168
AV3D0014,V3D0014,development,solver_failure,72019721,120,132
AV3D0015,V3D0015,development,forecast_underprediction,72019722,120,168
AV3D0016,V3D0016,development,sensor_bias,72019723,120,168
AV3D0017,V3D0017,development,root_depth_shift,72019724,120,168
AV3D0018,V3D0018,development,feedback_conflict,72019725,120,132
AV3D0019,V3D0019,development,drainage_shift,72019726,120,168
AV3D0020,V3D0020,development,root_depth_shift,72019727,120,168
AV3D0021,V3D0021,development,valve_stuck,72019728,120,168
AV3D0022,V3D0022,development,valve_stuck,72019729,120,168
AV3D0023,V3D0023,development,sensor_spike,72019730,120,123
AV3D0024,V3D0024,development,sensor_bias,72019731,120,168
AV3D0025,V3D0025,development,solver_failure,72019732,120,132
AV3D0026,V3D0026,development,solver_failure,72019733,120,132
AV3D0027,V3D0027,development,sensor_spike,72019734,120,123
AV3D0028,V3D0028,development,flow_decay,72019735,120,168
AV3D0029,V3D0029,development,forecast_underprediction,72019736,120,168
AV3D0030,V3D0030,development,valve_stuck,72019737,120,168
AV3D0031,V3D0031,development,forecast_underprediction,72019738,120,168
AV3D0032,V3D0032,development,root_depth_shift,72019739,120,168
