scenario_id,split,horizon_hours,scenario_seed,root_depth_mm,field_capacity,wilting_point,saturation_margin_above_fc,initial_available_water_fraction,irrigation_efficiency,drainage_coefficient,et_stress_fraction_between_wp_fc,et_multiplier,forecast_bias_fraction,forecast_noise_std_fraction,process_noise_std,sensor_noise_std,et_profile,saturation,initial_theta,et_stress_start
V2D0001,development,336,62011001,241.94342220,0.26836356,0.11215312,0.10448883,0.77035451,0.90523123,23.35715040,0.40496217,1.25829719,0.07677864,0.08304691,0.00012803,0.00076120,hot_spell,0.37285239,0.23249054,0.17541244
V2D0002,development,336,62011002,298.51249010,0.30499698,0.14039697,0.12867227,0.34831829,0.83676206,12.34673469,0.48197852,1.33894262,0.18631592,0.00110295,0.00028093,0.00095184,variable_cloud,0.43366925,0.19773016,0.21973064
V2D0003,development,336,62011003,310.26162707,0.26361293,0.13540219,0.08136354,0.71797046,0.74842314,19.76844640,0.54049816,0.80388895,0.19214364,0.14739622,0.00023107,0.00084009,typical,0.34497647,0.22745372,0.20469986
V2D0004,development,336,62011004,339.67104505,0.26207430,0.14330401,0.08964735,0.51578068,0.81679317,14.24275557,0.57594281,1.02615329,0.04663938,0.02189009,0.00011304,0.00095721,hot_spell,0.35172165,0.20456343,0.21170890
V2D0005,development,336,62011005,326.30010126,0.29503784,0.12747301,0.11198143,0.43662816,0.85192034,11.27062961,0.59140069,1.17330458,0.15648328,0.07149928,0.00018900,0.00062634,variable_cloud,0.40701927,0.20063653,0.22657097
V2D0006,development,336,62011006,313.77586248,0.28240846,0.13700206,0.08833191,0.70140714,0.91131178,23.01362030,0.42076433,1.16447893,-0.13774213,0.05730741,0.00009733,0.00052071,hot_spell,0.37074038,0.23899115,0.19818389
V2D0007,development,336,62011007,333.65610606,0.28345046,0.10327848,0.09403194,0.64015701,0.79550282,14.67558294,0.56722682,0.83223743,0.01589372,0.04171226,0.00029460,0.00075898,hot_spell,0.37748239,0.21861684,0.20547686
V2D0008,development,336,62011008,250.62287064,0.26731052,0.14624972,0.10640119,0.63629545,0.81544953,14.48301924,0.37846838,1.16040911,-0.11662165,0.05343606,0.00005744,0.00053086,hot_spell,0.37371171,0.22328016,0.19206740
V2D0009,development,336,62011009,347.46006364,0.29861984,0.10872321,0.08044459,0.50039789,0.80395420,27.21861361,0.47109851,0.94116899,-0.00908221,0.05559035,0.00022502,0.00086869,hot_spell,0.37906443,0.20374708,0.19818323
V2D0010,development,336,62011010,313.55970001,0.30343746,0.13157442,0.11627843,0.44340998,0.90786709,19.73820173,0.35252107,0.98716256,0.14624502,0.09603859,0.00010494,0.00085440,hot_spell,0.41971589,0.20778021,0.19215977
